,geneID,gene_symbol,gene_name,gene_other_symbol,gene_synonyms
14,21,ABCA3,ATP binding cassette subfamily A member 3,"ABC-C, ABC3, EST111653, LBM180, SMDP3","ATP-binding cassette sub-family A member 3|ABC transporter 3|ABC-C transporter|ATP-binding cassette transporter 3|ATP-binding cassette, sub-family A (ABC1), member 3"
15,22,ABCB7,ATP binding cassette subfamily B member 7,"ABC7, ASAT, Atm1p, EST140535","ATP-binding cassette sub-family B member 7, mitochondrial|ABC transporter 7 protein|ATP-binding cassette transporter 7|ATP-binding cassette, sub-family B (MDR/TAP), member 7"
16,23,ABCF1,ATP binding cassette subfamily F member 1,"ABC27, ABC50","ATP-binding cassette sub-family F member 1|ATP-binding cassette 50 (TNF-alpha stimulated)|ATP-binding cassette, sub-family F (GCN20), member 1|TNF-alpha-stimulated ABC protein|TNFalpha-inducible ATP-binding protein"
17,24,ABCA4,ATP binding cassette subfamily A member 4,"ABC10, ABCR, ARMD2, CORD3, FFM, RMP, RP19, STGD, STGD1","retinal-specific ATP-binding cassette transporter|ATP binding cassette transporter|ATP-binding cassette sub-family A member 4|ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4|ATP-binding transporter, retina-specific|RIM ABC transporter|RIM protein|photoreceptor rim protein|retina-specific ABC transporter|stargardt disease protein"
18,25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase","ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl","tyrosine-protein kinase ABL1|Abelson tyrosine-protein kinase 1|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|v-abl Abelson murine leukemia viral oncogene homolog 1"
19,26,AOC1,"amine oxidase, copper containing 1","ABP, ABP1, DAO, DAO1, KAO",amiloride-sensitive amine oxidase [copper-containing]|amiloride binding protein 1 (amine oxidase (copper-containing))|amiloride-binding protein 1|amiloride-sensitive amine oxidase|amine oxidase copper domain-containing protein 1|diamine oxidase|histaminase|kidney amine oxidase
20,27,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase","ABLL, ARG","tyrosine-protein kinase ABL2|Abelson tyrosine-protein kinase 2|abelson-related gene protein|c-abl oncogene 2, non-receptor tyrosine kinase|tyrosine-protein kinase ARG|v-abl Abelson murine leukemia viral oncogene homolog 2"
21,28,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","A3GALNT, A3GALT1, GTB, NAGAT","histo-blood group ABO system transferase|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)|B(A) alpha-1,3-galactosyltransferase|histo-blood group A2 transferase"
22,29,ABR,"ABR, RhoGEF and GTPase activating protein",MDB,active breakpoint cluster region-related protein|active BCR-related
23,30,ACAA1,acetyl-CoA acyltransferase 1,"ACAA, PTHIO, THIO","3-ketoacyl-CoA thiolase, peroxisomal|acetyl-Coenzyme A acyltransferase 1|beta-ketothiolase|peroxisomal 3-oxoacyl-CoA thiolase|peroxisomal 3-oxoacyl-Coenzyme A thiolase|testicular tissue protein Li 197"
24,31,ACACA,acetyl-CoA carboxylase alpha,"ACAC, ACACAD, ACC, ACC1, ACCA",acetyl-CoA carboxylase 1|ACC-alpha|acetyl-Coenzyme A carboxylase alpha
25,32,ACACB,acetyl-CoA carboxylase beta,"ACC2, ACCB, HACC275",acetyl-CoA carboxylase 2|ACC-beta|acetyl-Coenzyme A carboxylase beta
26,33,ACADL,acyl-CoA dehydrogenase long chain,"ACAD4, LCAD","long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, long chain"
27,34,ACADM,acyl-CoA dehydrogenase medium chain,"ACAD1, MCAD, MCADH","medium-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-4 to C-12 straight chain|acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain|medium-chain acyl-CoA dehydrogenase|testicular tissue protein Li 7"
28,35,ACADS,acyl-CoA dehydrogenase short chain,"ACAD3, SCAD","short-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-2 to C-3 short chain|acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain|butyryl-CoA dehydrogenase|mitochondrial short-chain specific acyl-CoA dehydrogenase|unsaturated acyl-CoA reductase"
29,36,ACADSB,acyl-CoA dehydrogenase short/branched chain,"2-MEBCAD, ACAD7, SBCAD","short/branched chain specific acyl-CoA dehydrogenase, mitochondrial|2-methyl branched chain acyl-CoA dehydrogenase|2-methylbutyryl-coenzyme A dehydrogenase|acyl-Coenzyme A dehydrogenase, short/branched chain"
30,37,ACADVL,acyl-CoA dehydrogenase very long chain,"ACAD6, LCACD, VLCAD","very long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, very long chain"
31,38,ACAT1,acetyl-CoA acetyltransferase 1,"ACAT, MAT, T2, THIL","acetyl-CoA acetyltransferase, mitochondrial|acetoacetyl Coenzyme A thiolase|acetoacetyl-CoA thiolase|acetyl-Coenzyme A acetyltransferase 1|mitochondrial acetoacetyl-CoA thiolase|testicular tissue protein Li 198"
32,39,ACAT2,acetyl-CoA acetyltransferase 2,None,"acetyl-CoA acetyltransferase, cytosolic|acetoacetyl Coenzyme A thiolase|acetyl-CoA transferase-like protein|cytosolic acetoacetyl-CoA thiolase"
33,40,ASIC2,acid sensing ion channel subunit 2,"ACCN, ACCN1, ASIC2a, BNC1, BNaC1, MDEG, hBNaC1","acid-sensing ion channel 2|acid sensing (proton gated) ion channel 2|amiloride-sensitive cation channel 1, neuronal|brain sodium channel 1|mammalian degenerin homolog|neuronal amiloride-sensitive cation channel 1"
34,41,ASIC1,acid sensing ion channel subunit 1,"ACCN2, ASIC, BNaC2","acid-sensing ion channel 1|Cation channel, amiloride-sensitive, neuronal, 2|acid sensing (proton gated) ion channel 1|acid-sensing ion channel 1a protein|amiloride-sensitive cation channel 2, neuronal|brain sodium channel 2"
35,43,ACHE,acetylcholinesterase (Cartwright blood group),"ACEE, ARACHE, N-ACHE, YT",acetylcholinesterase|Yt blood group|acetylcholinesterase (Yt blood group)|apoptosis-related acetylcholinesterase
36,131118,DNAJC19,DnaJ heat shock protein family (Hsp40) member C19,"PAM18, TIM14, TIMM14","mitochondrial import inner membrane translocase subunit TIM14|DnaJ (Hsp40) homolog, subfamily C, member 19|DnaJ-like protein subfamily C member 19|homolog of yeast TIM14"
37,47,ACLY,ATP citrate lyase,"ACL, ATPCL, CLATP",ATP-citrate synthase|ATP-citrate (pro-S-)-lyase|citrate cleavage enzyme
38,48,ACO1,aconitase 1,"ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1","cytoplasmic aconitate hydratase|aconitase 1, soluble|aconitate hydratase, cytoplasmic|citrate hydro-lyase|cytoplasmic aconitase|cytosplasmic aconitase|epididymis luminal protein 60|ferritin repressor protein|iron regulatory protein 1|iron-responsive element-binding protein 1|soluble aconitase"
39,46,ACLS,acrocallosal syndrome,None,None
40,50,ACO2,aconitase 2,"ACONM, HEL-S-284, ICRD, OCA8, OPA9","aconitate hydratase, mitochondrial|aconitase 2, mitochondrial|citrate hydro-lyase|epididymis secretory sperm binding protein Li 284|mitochondrial aconitase"
41,51,ACOX1,acyl-CoA oxidase 1,"ACOX, PALMCOX, SCOX","peroxisomal acyl-coenzyme A oxidase 1|AOX|acyl-CoA oxidase 1, palmitoyl|acyl-CoA oxidase, straight-chain|acyl-Coenzyme A oxidase 1, palmitoyl|palmitoyl-CoA oxidase|peroxisomal fatty acyl-CoA oxidase|straight-chain acyl-CoA oxidase"
42,52,ACP1,acid phosphatase 1,"HAAP, LMW-PTP, LMWPTP","low molecular weight phosphotyrosine protein phosphatase|LMW-PTPase|acid phosphatase 1, soluble|acid phosphatase of erythrocyte|adipocyte acid phosphatase|cytoplasmic phosphotyrosyl protein phosphatase|low molecular weight cytosolic acid phosphatase|protein tyrosine phosphatase|red cell acid phosphatase 1|testicular secretory protein Li 37"
43,53,ACP2,"acid phosphatase 2, lysosomal",LAP,lysosomal acid phosphatase
44,54,ACP5,"acid phosphatase 5, tartrate resistant","HPAP, TRACP5a, TRACP5b, TRAP, TrATPase",tartrate-resistant acid phosphatase type 5|human purple acid phosphatase|tartrate-resistant acid ATPase|tartrate-resistant acid phosphatase 5a|tartrate-resistant acid phosphatase 5b
45,55,ACPP,"acid phosphatase, prostate","5'-NT, ACP-3, ACP3",prostatic acid phosphatase|TMPase|ecto-5'-nucleotidase|prostatic acid phosphotase|thiamine monophosphatase
46,49,ACR,acrosin,None,acrosin|acrosin light and heavy chain prepropeptide|preproacrosin|proacrosin
47,56,ACRV1,acrosomal vesicle protein 1,"D11S4365, SP-10, SPACA2",acrosomal protein SP-10|sperm protein 10
48,58,ACTA1,"actin, alpha 1, skeletal muscle","ACTA, ASMA, CFTD, CFTD1, CFTDM, MPFD, NEM1, NEM2, NEM3, SHPM","actin, alpha skeletal muscle|nemaline myopathy type 3"
49,59,ACTA2,"actin, alpha 2, smooth muscle, aorta",ACTSA,"actin, aortic smooth muscle|alpha-cardiac actin|cell growth-inhibiting gene 46 protein"
50,60,ACTB,actin beta,"BRWS1, PS1TP5BP1","actin, cytoplasmic 1|I(2)-actin|PS1TP5-binding protein 1|beta cytoskeletal actin"
51,70,ACTC1,"actin, alpha, cardiac muscle 1","ACTC, ASD5, CMD1R, CMH11, LVNC4","actin, alpha cardiac muscle 1"
52,71,ACTG1,actin gamma 1,"ACT, ACTG, DFNA20, DFNA26, HEL-176","actin, cytoplasmic 2|cytoskeletal gamma-actin|epididymis luminal protein 176"
53,72,ACTG2,"actin, gamma 2, smooth muscle, enteric","ACT, ACTA3, ACTE, ACTL3, ACTSG, VSCM","actin, gamma-enteric smooth muscle|actin-like protein|alpha-actin-3"
54,81,ACTN4,actinin alpha 4,"ACTININ-4, FSGS, FSGS1",alpha-actinin-4|focal segmental glomerulosclerosis 1|non-muscle alpha-actinin 4
55,86,ACTL6A,actin like 6A,"ACTL6, ARPN-BETA, Arp4, BAF53A, INO80K",actin-like protein 6A|53 kDa BRG1-associated factor A|BAF complex 53 kDa subunit|BAF53|BRG1-associated factor 53A|INO80 complex subunit K|actin-related protein 4|actin-related protein Baf53a|arpNbeta|hArpN beta
56,87,ACTN1,actinin alpha 1,BDPLT15,alpha-actinin-1|F-actin cross-linking protein|actinin 1 smooth muscle|alpha-actinin cytoskeletal isoform|non-muscle alpha-actinin-1
57,88,ACTN2,actinin alpha 2,"CMD1AA, CMH23",alpha-actinin-2|F-actin cross-linking protein|alpha-actinin skeletal muscle
58,90,ACVR1,activin A receptor type 1,"ACTRI, ACVR1A, ACVRLK2, ALK2, FOP, SKR1, TSRI","activin receptor type-1|TGF-B superfamily receptor type I|activin A receptor, type I|activin A receptor, type II-like kinase 2|activin receptor type I|activin receptor-like kinase 2|hydroxyalkyl-protein kinase|serine/threonine-protein kinase receptor R1"
59,91,ACVR1B,activin A receptor type 1B,"ACTRIB, ACVRLK4, ALK4, SKR2","activin receptor type-1B|activin A receptor, type IB|activin A receptor, type II-like kinase 4|activin receptor-like kinase 4|serine/threonine-protein kinase receptor R2"
60,92,ACVR2A,activin A receptor type 2A,"ACTRII, ACVR2","activin receptor type-2A|activin A receptor, type IIA"
61,93,ACVR2B,activin A receptor type 2B,"ACTRIIB, ActR-IIB, HTX4","activin receptor type-2B|activin A receptor, type IIB"
62,94,ACVRL1,activin A receptor like type 1,"ACVRLK1, ALK-1, ALK1, HHT, HHT2, ORW2, SKR3, TSR-I","serine/threonine-protein kinase receptor R3|TGF-B superfamily receptor type I|activin A receptor type II-like 1|activin A receptor type IL|activin A receptor, type II-like kinase 1"
63,95,ACY1,aminoacylase 1,"ACY-1, ACY1D, HEL-S-5",aminoacylase-1|N-acyl-L-amino-acid amidohydrolase|acylase|epididymis secretory protein Li 5
64,97,ACYP1,acylphosphatase 1,ACYPE,"acylphosphatase-1|acylphosphatase 1, erythrocyte (common) type|acylphosphatase, erythrocyte isozyme|acylphosphatase, organ-common type isozyme|acylphosphate phosphohydrolase 1"
65,98,ACYP2,acylphosphatase 2,"ACYM, ACYP","acylphosphatase-2|acylphosphatase 2, muscle type|acylphosphatase, muscle type isozyme|acylphosphate phosphohydrolase 2|testicular tissue protein Li 11"
66,100,ADA,adenosine deaminase,None,adenosine deaminase|adenosine aminohydrolase
67,101,ADAM8,ADAM metallopeptidase domain 8,"CD156, CD156a, MS2",disintegrin and metalloproteinase domain-containing protein 8|a disintegrin and metalloproteinase domain 8|cell surface antigen MS2|human leukocyte differentiation antigen
68,102,ADAM10,ADAM metallopeptidase domain 10,"AD10, AD18, CD156c, CDw156, HsT18717, MADM, RAK, kuz",disintegrin and metalloproteinase domain-containing protein 10|a disintegrin and metalloprotease domain 10|kuzbanian protein homolog|mammalian disintegrin-metalloprotease
69,103,ADAR,"adenosine deaminase, RNA specific","ADAR1, AGS6, DRADA, DSH, DSRAD, G1P1, IFI-4, IFI4, K88DSRBP, P136",double-stranded RNA-specific adenosine deaminase|136 kDa double-stranded RNA-binding protein|adenosine deaminase acting on RNA 1-A|dsRNA adenosine deaminase|dsRNA adeonosine deaminase|interferon-induced protein 4|interferon-inducible protein 4
70,104,ADARB1,"adenosine deaminase, RNA specific B1","ADAR2, DRABA2, DRADA2, RED1","double-stranded RNA-specific editase 1|RNA editing deaminase 1|RNA-editing enzyme 1|adenosine deaminase, RNA-specific, B1 (homolog of rat RED1)|dsRNA adenosine deaminase DRADA2"
71,131177,FAM3D,family with sequence similarity 3 member D,"EF7, OIT1",protein FAM3D|Oncoprotein-induced transcript 1|cytokine-like protein EF-7
72,105,ADARB2,"adenosine deaminase, RNA specific B2 (inactive)","ADAR3, RED2","double-stranded RNA-specific editase B2|RED2 homolog|RNA-dependent adenosine deaminase 3|RNA-editing deaminase 2|RNA-editing enzyme 2|adenosine deaminase, RNA-specific, B2 (RED1 homolog rat)|adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)|adenosine deaminase, RNA-specific, B2 (non-functional)|dsRNA adenosine deaminase B2|homolog of rat BLUE"
73,107,ADCY1,adenylate cyclase 1,"AC1, DFNB44","adenylate cyclase type 1|3',5'-cyclic AMP synthetase|ATP pyrophosphate-lyase 1|Ca(2+)/calmodulin-activated adenylyl cyclase|adenyl cyclase|adenylate cyclase 1 (brain)|adenylate cyclase type I|adenylyl cyclase 1"
74,108,ADCY2,adenylate cyclase 2,"AC2, HBAC2","adenylate cyclase type 2|3',5'-cyclic AMP synthetase|ATP pyrophosphate-lyase 2|adenylate cyclase 2 (brain)|adenylate cyclase II|adenylate cyclase type II|adenylyl cyclase 2|type II adenylate cyclase"
75,109,ADCY3,adenylate cyclase 3,"AC-III, AC3, BMIQ19","adenylate cyclase type 3|ATP pyrophosphate-lyase 3|adenylate cyclase type III|adenylate cyclase, olfactive type|adenylyl cyclase 3|adenylyl cyclase, type III"
76,442897,MIR323A,microRNA 323a,"MIR323, MIRN323, hsa-mir-323, hsa-mir-323a, mir-323a",microRNA 323
77,111,ADCY5,adenylate cyclase 5,"AC5, FDFM",adenylate cyclase type 5|ATP pyrophosphate-lyase 5|adenylate cyclase type V|adenylyl cyclase 5
78,112,ADCY6,adenylate cyclase 6,"AC6, LCCS8",adenylate cyclase type 6|ATP pyrophosphate-lyase 6|adenylate cyclase type VI|ca(2+)-inhibitable adenylyl cyclase
79,113,ADCY7,adenylate cyclase 7,AC7,adenylate cyclase type 7|ATP pyrophosphate-lyase 7|adenylate cyclase type VII|adenylyl cyclase 7
80,114,ADCY8,adenylate cyclase 8,"AC8, ADCY3, HBAC1","adenylate cyclase type 8|ATP pyrophosphate-lyase 8|HEL-S-172mP|adenylate cyclase 8 (brain)|adenylate cyclase type VIII|adenylyl cyclase 8|adenylyl cyclase-8, brain|ca(2+)/calmodulin-activated adenylyl cyclase|epididymis secretory sperm binding protein Li 172mP"
81,115,ADCY9,adenylate cyclase 9,"AC9, ACIX",adenylate cyclase type 9|ATP pyrophosphate-lyase 9|adenylate cyclase type IX|adenylyl cyclase 9|type IX ATP pyrophosphate-lyase
82,116,ADCYAP1,adenylate cyclase activating polypeptide 1,PACAP,pituitary adenylate cyclase-activating polypeptide|adenylate cyclase activating polypeptide 1 (pituitary)|prepro-PACAP
83,117,ADCYAP1R1,ADCYAP receptor type I,"PAC1, PAC1R, PACAPR, PACAPRI",pituitary adenylate cyclase-activating polypeptide type I receptor|PACAP receptor 1|PACAP type I receptor|PACAP-R1|adenylate cyclase activating polypeptide 1 (pituitary) receptor type I|pituitary adenylate cyclase activating polypeptide 1 receptor type I Hiphop|pituitary adenylate cyclase-activating polypeptide type 1 receptor
84,118,ADD1,adducin 1,ADDA,alpha-adducin|adducin 1 (alpha)|erythrocyte adducin alpha subunit
85,119,ADD2,adducin 2,ADDB,beta-adducin|adducin 2 (beta)|erythrocyte adducin subunit beta
86,120,ADD3,adducin 3,"ADDL, CPSQ3",gamma-adducin|adducin 3 (gamma)|adducin-like protein 70
87,122,ADFN,albinism-deafness syndrome,ALDS,None
88,123,PLIN2,perilipin 2,"ADFP, ADRP",perilipin-2|adipophilin|adipose differentiation-related protein
89,124,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",ADH1,"alcohol dehydrogenase 1A|ADH, alpha subunit|alcohol dehydrogenase 1 (class I), alpha polypeptide|alcohol dehydrogenase subunit alpha|aldehyde reductase"
90,125,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide","ADH2, HEL-S-117","alcohol dehydrogenase 1B|ADH, beta subunit|alcohol dehydrogenase 2 (class I), beta polypeptide|alcohol dehydrogenase subunit beta|aldehyde reductase|epididymis secretory protein Li 117"
91,126,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",ADH3,"alcohol dehydrogenase 1C|ADH, gamma subunit|alcohol dehydrogenase 3 (class I), gamma polypeptide|aldehyde reductase"
92,127,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide","ADH-2, HEL-S-4",alcohol dehydrogenase 4|alcohol dehydrogenase class II pi chain|aldehyde reductase|epididymis secretory protein Li 4
93,128,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide","ADH-3, ADHX, FALDH, FDH, GSH-FDH, GSNOR, HEL-S-60p","alcohol dehydrogenase class-3|S-(hydroxymethyl)glutathione dehydrogenase|S-nitrosoglutathione reductase|alcohol dehydrogenase (class III), chi polypeptide|alcohol dehydrogenase class chi chain|alcohol dehydrogenase class-III|epididymis secretory sperm binding protein Li 60p|formaldehyde dehydrogenase|glutathione-dependent formaldehyde dehydrogenase"
94,130,ADH6,alcohol dehydrogenase 6 (class V),ADH-5,alcohol dehydrogenase 6|aldehyde reductase
95,131,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",ADH4,alcohol dehydrogenase class 4 mu/sigma chain|alcohol dehydrogenase VII|alcohol dehydrogenase class IV mu/sigma chain|alcohol dehydrogenase-7|class IV sigma-1 alcohol dehydrogenase|class IV sigmasigma alcohol dehydrogenase|gastric alcohol dehydrogenase|retinol dehydrogenase
96,132,ADK,adenosine kinase,AK,adenosine kinase|adenosine 5'-phosphotransferase|testicular tissue protein Li 14
97,133,ADM,adrenomedullin,"AM, PAMP",ADM|preproadrenomedullin|proadrenomedullin N-20 terminal peptide
98,134,ADORA1,adenosine A1 receptor,RDC7,adenosine receptor A1|adenosine A1 receptor variant 1|adenosine A1 receptor variant 2
99,135,ADORA2A,adenosine A2a receptor,"A2aR, ADORA2, RDC8",adenosine receptor A2a|adenosine receptor subtype A2a
100,136,ADORA2B,adenosine A2b receptor,ADORA2,adenosine receptor A2b
101,196743,PAOX,polyamine oxidase,PAO,peroxisomal N(1)-acetyl-spermine/spermidine oxidase|peroxisomal N1-acetyl-spermine/spermidine oxidase|polyamine oxidase (exo-N4-amino)
102,196740,VSTM4,V-set and transmembrane domain containing 4,C10orf72,V-set and transmembrane domain-containing protein 4
103,140,ADORA3,adenosine A3 receptor,A3AR,adenosine receptor A3
104,142,PARP1,poly(ADP-ribose) polymerase 1,"ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PPOL, pADPRT-1","poly [ADP-ribose] polymerase 1|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)|ADP-ribosyltransferase NAD(+)|ADP-ribosyltransferase diphtheria toxin-like 1|NAD(+) ADP-ribosyltransferase 1|poly (ADP-ribose) polymerase family, member 1|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase|poly[ADP-ribose] synthase 1"
105,143,PARP4,poly(ADP-ribose) polymerase family member 4,"ADPRTL1, ARTD4, PARP-4, PARPL, PH5P, VAULT3, VPARP, VWA5C, p193","poly [ADP-ribose] polymerase 4|193 kDa vault protein|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 1|ADP-ribosyltransferase diphtheria toxin-like 4|H5 proline-rich|I-alpha-I-related|PARP-related|PARP-related/IalphaI-related H5/proline-rich|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase-like 1|vault poly(ADP-ribose) polymerase|vault protein, 193-kDa|von Willebrand factor A domain containing 5C"
106,146,ADRA1D,adrenoceptor alpha 1D,"ADRA1, ADRA1A, ADRA1R, ALPHA1, DAR, dJ779E11.2","alpha-1D adrenergic receptor|adrenergic, alpha -1D-, receptor|adrenergic, alpha-1A-, receptor|alpha-1A adrenergic receptor|alpha-1D adrenoceptor|alpha-1D adrenoreceptor|alpha-adrenergic receptor 1a"
107,147,ADRA1B,adrenoceptor alpha 1B,"ADRA1, ALPHA1BAR","alpha-1B adrenergic receptor|adrenergic, alpha-1B-, receptor|alpha-1B adrenoceptor|alpha-1B adrenoreceptor"
108,148,ADRA1A,adrenoceptor alpha 1A,"ADRA1C, ADRA1L1, ALPHA1AAR","alpha-1A adrenergic receptor|G protein coupled receptor|adrenergic, alpha-1A-, receptor|alpha-1A adrenoceptor|alpha-1A adrenoreceptor|alpha-1C adrenergic receptor"
109,150,ADRA2A,adrenoceptor alpha 2A,"ADRA2, ADRA2R, ADRAR, ALPHA2AAR, ZNF32","alpha-2A adrenergic receptor|adrenergic, alpha-2A-, receptor|alpha-2 adrenergic receptor subtype C10|alpha-2-adrenergic receptor, platelet type|alpha-2A adrenoceptor|alpha-2A adrenoreceptor|alpha-2AAR subtype C10"
110,151,ADRA2B,adrenoceptor alpha 2B,"ADRA2L1, ADRA2RL1, ADRARL1, ALPHA2BAR, FAME2, alpha-2BAR","alpha-2B adrenergic receptor|ADRA2B adrenergic, alpha-2B-, receptor|G-protein coupled receptor|alpha-2 adrenergic receptor subtype C2|alpha-2-adrenergic receptor-like 1|alpha-2B adrenoreceptor"
111,152,ADRA2C,adrenoceptor alpha 2C,"ADRA2L2, ADRA2RL2, ADRARL2, ALPHA2CAR","alpha-2C adrenergic receptor|adrenergic, alpha-2C-, receptor|alpha-2 adrenergic receptor subtype C4|alpha-2C adrenoceptor|alpha-2C adrenoreceptor|alpha-2CAR|alpha2-AR-C4"
112,153,ADRB1,adrenoceptor beta 1,"ADRB1R, B1AR, BETA1AR, RHR","beta-1 adrenergic receptor|adrenergic, beta-1-, receptor|beta-1 adrenoceptor|beta-1 adrenoreceptor"
113,154,ADRB2,adrenoceptor beta 2,"ADRB2R, ADRBR, B2AR, BAR, BETA2AR","beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor"
114,155,ADRB3,adrenoceptor beta 3,BETA3AR,"beta-3 adrenergic receptor|adrenergic, beta-3-, receptor|beta-3 adrenoceptor|beta-3 adrenoreceptor"
115,156,GRK2,G protein-coupled receptor kinase 2,"ADRBK1, BARK1, BETA-ARK1",beta-adrenergic receptor kinase 1|adrenergic beta receptor kinase 1|beta-ARK-1
116,157,GRK3,G protein-coupled receptor kinase 3,"ADRBK2, BARK2","beta-adrenergic receptor kinase 2|adrenergic, beta, receptor kinase 2|beta-ARK-2"
117,158,ADSL,adenylosuccinate lyase,"AMPS, ASASE, ASL",adenylosuccinate lyase|adenylosuccinase
118,159,ADSS,adenylosuccinate synthase,"ADEH, ADSS 2","adenylosuccinate synthetase isozyme 2|AMPSase 2|IMP--aspartate ligase 2|L-type adenylosuccinate synthetase|adSS 2|adenylosuccinate synthetase (Ade(-)H-complementing)|adenylosuccinate synthetase, acidic isozyme|adenylosuccinate synthetase, liver isozyme"
